case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
RT-004,"R1 and R2 are running OSPF but the neighbor adjacency never forms. Both interfaces are up/up and can ping each other. [RED HERRING: The network statements both cover the correct interface and wildcard masks look reasonable.]","R1 (Gi0/0 = 10.10.99.1/30) connects to R2 (Gi0/0 = 10.10.99.2/30). Both routers run OSPF process 1.","R1# show ip ospf neighbor
(no neighbors found)

R1# show ip ospf interface GigabitEthernet0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet Address 10.10.99.1/30, Area 0, Attached via Network Statement
  Process ID 1, Router ID 1.1.1.1, Network Type BROADCAST, Cost: 1
  Transmit Delay is 1 sec, State DR, Priority 1
  Hello 10, Dead 40, Retransmit 5

R2# show ip ospf interface GigabitEthernet0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet Address 10.10.99.2/30, Area 1, Attached via Network Statement
  Process ID 1, Router ID 2.2.2.2, Network Type BROADCAST, Cost: 1
  Transmit Delay is 1 sec, State DR, Priority 1
  Hello 10, Dead 40, Retransmit 5

R1# show ip protocols
Routing Protocol is ""ospf 1""
  Routing for Networks:
    10.10.99.0 0.0.0.3 area 0

R2# show ip protocols
Routing Protocol is ""ospf 1""
  Routing for Networks:
    10.10.99.0 0.0.0.3 area 1","R1's Gi0/0 is in OSPF Area 0 while R2's Gi0/0 is in OSPF Area 1. OSPF requires matching area IDs on a shared link to form adjacency. The network statements and wildcard masks are correct — a red herring that suggests the OSPF config looks fine at first glance.","Layer 3 - Network",Routing,Critical
RT-005,"PCs on VLAN 10 can reach the 172.16.0.0/16 data centre network but latency is 150ms+ and traceroute shows 4 extra hops through the WAN. The direct LAN path should be 1 hop.","R1 has two paths to the data centre: a GigabitEthernet link (Gi0/1 = 10.10.50.1/30 to R3 Gi0/0 = 10.10.50.2/30) and a slow serial WAN (S0/0/0 = 10.10.99.1/30 to R2). R2 eventually reaches R3 through R4 and R5.","R1# show ip route
Codes: C - connected, S - static, R - RIP, O - OSPF

Gateway of last resort is not set

     10.0.0.0/8 is variably subnetted, 4 subnets
C       10.10.10.0/24 is directly connected, GigabitEthernet0/0.10
C       10.10.50.0/30 is directly connected, GigabitEthernet0/1
C       10.10.99.0/30 is directly connected, Serial0/0/0
S    172.16.0.0/16 [1/0] via 10.10.99.2

R1# show interfaces GigabitEthernet0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet address is 10.10.50.1/30
  MTU 1500 bytes, BW 1000000 Kbit/sec

R1# show interfaces Serial0/0/0
Serial0/0/0 is up, line protocol is up
  Internet address is 10.10.99.1/30
  MTU 1500 bytes, BW 1544 Kbit/sec","The static route to 172.16.0.0/16 directs traffic via 10.10.99.2 (the slow Serial WAN link to R2) instead of 10.10.50.2 (the direct GigabitEthernet link to R3). Traffic takes an unnecessary multi-hop WAN path.","Layer 3 - Network",Routing,Medium
ACL-001,"PCs on VLAN 10 can ping the web server at 10.10.30.10 but cannot browse to it (HTTP connection times out). All other servers are reachable on all protocols.","R1 has ACL 101 applied inbound on Gi0/0.10 (VLAN 10 interface). Web server is on VLAN 30 at 10.10.30.10.","R1# show access-lists
Extended IP access list 101
    10 permit icmp 10.10.10.0 0.0.0.255 any (280 matches)
    20 deny   tcp 10.10.10.0 0.0.0.255 host 10.10.30.10 eq 80 (156 matches)
    30 permit ip any any (4520 matches)

R1# show ip interface GigabitEthernet0/0.10
GigabitEthernet0/0.10 is up, line protocol is up
  Ingoing access list is 101
  Outgoing access list is not set","ACL 101 line 20 explicitly denies TCP port 80 (HTTP) traffic from VLAN 10 to host 10.10.30.10. ICMP is permitted on line 10, which is why ping works. The deny rule should be removed or changed to permit.","Layer 4 - Transport",ACL blocking legitimate traffic,High
ACL-002,"External clients from the internet cannot reach the company's public web server (10.10.30.10 / 203.0.113.10). Internal users can browse the web server fine and can also reach external sites. [RED HERRING: ACL permit statements look correct at first glance.]","R1 has Gi0/0.30 (internal, VLAN 30 with web server) and S0/0/0 (external, 209.165.200.225/30). ACL 150 exists. NAT is configured and working for outbound.","R1# show access-lists
Extended IP access list 150
    10 permit tcp any host 10.10.30.10 eq 80 (0 matches)
    20 permit tcp any host 10.10.30.10 eq 443 (0 matches)
    30 permit icmp any any (45 matches)
    40 deny   ip any any (1280 matches)

R1# show ip interface GigabitEthernet0/0.30
GigabitEthernet0/0.30 is up, line protocol is up
  Ingoing access list is not set
  Outgoing access list is 150

R1# show ip interface Serial0/0/0
Serial0/0/0 is up, line protocol is up
  Ingoing access list is not set
  Outgoing access list is not set","ACL 150 is applied outbound on the internal Gi0/0.30 interface instead of inbound on the external S0/0/0 interface. Inbound internet traffic on S0/0/0 has no ACL (no filtering), but the permit rules on Gi0/0.30 outbound reference the internal IP which never matches post-NAT traffic flow. The ACL should be applied inbound on S0/0/0 and reference the public IP.","Layer 4 - Transport",ACL blocking legitimate traffic,Critical
ACL-003,"PCs in VLAN 20 (10.10.20.0/24) cannot reach any resource — not even their own gateway after the first hop. VLAN 10 PCs work normally. An administrator recently added an ACL.","R1 has subinterfaces for VLANs 10 and 20. ACL 130 was applied to Gi0/0.20.","R1# show access-lists
Extended IP access list 130
    10 permit tcp 10.10.10.0 0.0.0.255 any eq 80 (340 matches)
    20 permit tcp 10.10.10.0 0.0.0.255 any eq 443 (210 matches)
    30 permit icmp 10.10.10.0 0.0.0.255 any (90 matches)

R1# show ip interface GigabitEthernet0/0.20
GigabitEthernet0/0.20 is up, line protocol is up
  Internet address is 10.10.20.1/24
  Ingoing access list is 130
  Outgoing access list is not set","ACL 130 only has permit statements for the 10.10.10.0/24 (VLAN 10) source network. There is no permit statement for 10.10.20.0/24 traffic. The implicit deny all at the end of the ACL drops all VLAN 20 traffic. The administrator applied a VLAN 10 ACL to the VLAN 20 interface by mistake.","Layer 4 - Transport",ACL blocking legitimate traffic,Critical
ACL-004,"PC1 cannot ping the server at 10.10.30.5 — all pings time out. However PC1 can open an HTTP session to 10.10.30.5 in the browser and SSH to it.","R1 has ACL 140 on Gi0/0.10 inbound. VLAN 10 is 10.10.10.0/24, server VLAN 30 is 10.10.30.0/24.","R1# show access-lists
Extended IP access list 140
    10 deny   icmp 10.10.10.0 0.0.0.255 10.10.30.0 0.0.0.255 (87 matches)
    20 permit tcp any any (3400 matches)
    30 permit udp any any (1200 matches)
    40 permit ip any any (560 matches)

R1# show ip interface GigabitEthernet0/0.10
GigabitEthernet0/0.10 is up, line protocol is up
  Ingoing access list is 140
  Outgoing access list is not set","ACL 140 line 10 explicitly denies all ICMP traffic from VLAN 10 to VLAN 30, blocking ping while allowing TCP (HTTP/SSH) and UDP through subsequent permit rules.","Layer 4 - Transport",ACL blocking legitimate traffic,Low
ACL-005,"Hosts with IPs 10.10.10.128 through 10.10.10.254 are blocked from accessing the file server at 10.10.30.5. Hosts 10.10.10.1 through 10.10.10.127 can access it without issues.","R1 has ACL 105 applied inbound on Gi0/0.10. VLAN 10 uses 10.10.10.0/24 with about 60 hosts.","R1# show access-lists
Extended IP access list 105
    10 permit ip 10.10.10.0 0.0.0.127 host 10.10.30.5 (520 matches)
    20 deny   ip any host 10.10.30.5 (340 matches)
    30 permit ip any any (2800 matches)

R1# show ip interface GigabitEthernet0/0.10
GigabitEthernet0/0.10 is up, line protocol is up
  Ingoing access list is 105
  Outgoing access list is not set","ACL 105 line 10 uses wildcard mask 0.0.0.127 which only matches hosts 10.10.10.0 through 10.10.10.127. Hosts in the .128-.254 range do not match line 10, fall through to the deny on line 20, and are blocked. The wildcard mask should be 0.0.0.255 to cover the entire /24.","Layer 4 - Transport",ACL blocking legitimate traffic,High
NAT-001,"Internal PCs (10.10.10.0/24) cannot reach any internet site. Inter-VLAN routing between 10.10.10.0/24 and 10.10.20.0/24 works correctly. The serial link to the ISP is up.","R1 has Gi0/0.10 (10.10.10.1/24, internal) and S0/0/0 (209.165.200.225/30, external to ISP). PAT (overload) is configured.","R1# show ip nat translations
(no translations found)

R1# show ip nat statistics
Total active translations: 0
Outside interfaces: (none)
Inside interfaces: (none)
Hits: 0  Misses: 0

R1# show running-config | include nat
ip nat inside source list 1 interface Serial0/0/0 overload
access-list 1 permit 10.10.10.0 0.0.0.255

R1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.10      10.10.10.1      YES manual up                    up
Serial0/0/0                209.165.200.225 YES manual up                    up

R1# show running-config interface GigabitEthernet0/0.10
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 10.10.10.1 255.255.255.0

R1# show running-config interface Serial0/0/0
interface Serial0/0/0
 ip address 209.165.200.225 255.255.255.252","The interfaces are not designated as NAT inside or NAT outside (ip nat inside / ip nat outside commands are missing from both interface configurations). NAT cannot function without these designations, so no translations are created.","Layer 3 - Network",NAT misconfiguration,High
NAT-002,"PCs on 10.10.10.0/24 (VLAN 10) can reach the internet. PCs on 10.10.20.0/24 (VLAN 20) cannot reach any internet site, though they can reach all internal networks including VLAN 10.","R1 performs PAT via S0/0/0 to ISP. Gi0/0.10 and Gi0/0.20 are inside interfaces. NAT ACL controls which source networks are translated.","R1# show ip nat translations
Pro Inside global       Inside local        Outside local      Outside global
tcp 209.165.200.225:1024 10.10.10.11:1025   8.8.8.8:80         8.8.8.8:80
tcp 209.165.200.225:1025 10.10.10.12:1026   8.8.4.4:443        8.8.4.4:443

R1# show running-config | include nat
ip nat inside source list 10 interface Serial0/0/0 overload

R1# show access-lists
Standard IP access list 10
    10 permit 10.10.10.0, wildcard bits 0.0.0.255 (285 matches)

R1# show running-config interface GigabitEthernet0/0.10
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 10.10.10.1 255.255.255.0
 ip nat inside

R1# show running-config interface GigabitEthernet0/0.20
interface GigabitEthernet0/0.20
 encapsulation dot1Q 20
 ip address 10.10.20.1 255.255.255.0
 ip nat inside

R1# show running-config interface Serial0/0/0
interface Serial0/0/0
 ip address 209.165.200.225 255.255.255.252
 ip nat outside","NAT access list 10 only permits the 10.10.10.0/24 network. The 10.10.20.0/24 network is not included, so VLAN 20 traffic is never translated and is dropped at the ISP edge.","Layer 3 - Network",NAT misconfiguration,Medium
NAT-003,"Internet works for most users but during peak hours (30+ concurrent users), some PCs get 'destination unreachable' when trying to browse. It works again if they retry after a few minutes.","R1 uses a NAT pool (NATPOOL) with a small range of public IPs for PAT. S0/0/0 is the outside interface. About 50 users are active.","R1# show ip nat statistics
Total active translations: 4
Peak translations: 4, occurred 14:32:10 ago
Outside interfaces:
  Serial0/0/0
Inside interfaces:
  GigabitEthernet0/0.10, GigabitEthernet0/0.20
Hits: 12840  Misses: 312
Expired translations: 8200
Dynamic mappings:
-- Inside Source
[Id: 1] access-list 10 pool NATPOOL refcount 4
 pool NATPOOL: netmask 255.255.255.252
        start 209.165.200.225 end 209.165.200.228
        type generic, total addresses 4, allocated 4 (100%), misses 312

R1# show ip nat translations
Pro Inside global       Inside local        Outside local      Outside global
tcp 209.165.200.225:1024 10.10.10.11:5000   93.184.216.34:80   93.184.216.34:80
tcp 209.165.200.226:1024 10.10.10.12:5001   93.184.216.34:443  93.184.216.34:443
tcp 209.165.200.227:1024 10.10.20.15:3000   8.8.8.8:443        8.8.8.8:443
tcp 209.165.200.228:1024 10.10.20.20:4000   1.1.1.1:80         1.1.1.1:80","NAT pool NATPOOL contains only 4 public IP addresses (209.165.200.225-228) with non-overload (one-to-one) mapping. When all 4 are allocated, additional translations fail (312 misses). The pool should use overload (PAT) or be expanded.","Layer 3 - Network",NAT misconfiguration,Medium
NAT-004,"External users cannot reach the internal web server via public IP 203.0.113.10. Internal users can browse the web server at its private IP 10.10.10.15 without issues. [RED HERRING: An ACL on the external interface permits HTTP/HTTPS to 203.0.113.10 — rules look correct.]","R1 has static NAT configured for the web server. S0/0/0 (203.0.113.1/24) is the outside interface. Gi0/0.10 is the inside interface. ACL 180 is applied inbound on S0/0/0.","R1# show ip nat translations
Pro Inside global       Inside local        Outside local      Outside global
--- 203.0.113.10        10.10.10.50         ---                ---

R1# show running-config | include nat
ip nat inside source static 10.10.10.50 203.0.113.10

R1# show access-lists
Extended IP access list 180
    10 permit tcp any host 203.0.113.10 eq 80 (0 matches)
    20 permit tcp any host 203.0.113.10 eq 443 (0 matches)
    30 deny   ip any any (45 matches)

R1# show ip interface Serial0/0/0
Serial0/0/0 is up, line protocol is up
  Ingoing access list is 180
  Outgoing access list is not set

R1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.10      10.10.10.1      YES manual up                    up
Serial0/0/0                203.0.113.1     YES manual up                    up","Static NAT maps 203.0.113.10 to inside local address 10.10.10.50, but the actual web server's IP is 10.10.10.15. The NAT translation sends traffic to a non-existent host. The ACL correctly permits HTTP/HTTPS to the public IP — a red herring suggesting the ACL is the issue when it actually has zero matches because NAT is translating to the wrong host.","Layer 3 - Network",NAT misconfiguration,High
WL-001,"Guests connecting to the 'Guest-WiFi' SSID are able to browse internal corporate file shares and access sensitive servers on VLAN 10 (Corporate). The security policy requires guest isolation to internet-only access.","AP1 (Cisco Lightweight AP or autonomous AP in Packet Tracer) broadcasts two SSIDs: 'Corporate-WiFi' mapped to VLAN 10 and 'Guest-WiFi'. AP1 uplink on SW1 Fa0/24 is a trunk. VLAN 10 = Corporate (10.10.10.0/24), VLAN 99 = Guest (10.10.99.0/24).","SW1# show interfaces Fa0/24 trunk
Port        Mode         Encapsulation  Status        Native vlan
Fa0/24      on           802.1q         trunking      1

Port        Vlans allowed on trunk
Fa0/24      1,10,99

Port        Vlans allowed and active in management domain
Fa0/24      1,10,99

AP Configuration Summary:
SSID: Corporate-WiFi
  VLAN: 10
  Security: WPA2-Enterprise
SSID: Guest-WiFi
  VLAN: 10
  Security: WPA2-PSK

SW1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/22, Fa0/23
10   Corporate                        active    Fa0/1, Fa0/2, Fa0/3
99   Guest                            active
1002 fddi-default                     act/unsup","The 'Guest-WiFi' SSID is mapped to VLAN 10 (Corporate) instead of VLAN 99 (Guest). Guest users are placed directly on the corporate network with full access to internal resources.","Layer 2 - Data Link",Wireless/guest network issues,Critical
WL-002,"Guest wireless clients connected to 'Guest-WiFi' can discover and ping other guest devices. The security policy requires client-to-client isolation on the guest network.","AP1 broadcasts 'Guest-WiFi' on VLAN 99. Guest clients get IPs via DHCP from R1 (10.10.99.0/24 pool). 8 guest devices are currently connected.","AP1# show dot11 associations

802.11 Client Stations on Dot11Radio0:
SSID [Guest-WiFi] :
MAC Address    IP address      Device        Name
00a0.c9f1.0001 10.10.99.10     PC-Wireless   Guest1
00a0.c9f1.0002 10.10.99.11     PC-Wireless   Guest2
00a0.c9f1.0003 10.10.99.12     PC-Wireless   Guest3

AP1# show running-config | section dot11
interface Dot11Radio0
 ssid Guest-WiFi
  vlan 99
  authentication open
  guest-mode
 no peer-to-peer blocking
 speed basic-1.0 2.0 5.5 11.0

Guest1> ping 10.10.99.11
Reply from 10.10.99.11: bytes=32 time=3ms TTL=128
Reply from 10.10.99.11: bytes=32 time=2ms TTL=128","Client isolation (peer-to-peer blocking) is not enabled on the Guest-WiFi SSID — the config shows 'no peer-to-peer blocking'. Guest clients can communicate directly with each other, violating the isolation security policy.","Layer 2 - Data Link",Wireless/guest network issues,Medium
WL-003,"Guests connect to 'Guest-WiFi' and see 'connected' status but get APIPA addresses (169.254.x.x). Corporate SSID on the same AP works fine and clients get 10.10.10.x addresses. [RED HERRING: DHCP pool for VLAN 99 exists and is correctly configured on R1.]","AP1 connects to SW1 Fa0/24 (trunk). VLAN 99 (Guest) DHCP pool exists on R1. Corporate-WiFi (VLAN 10) works. AP1 serves both SSIDs.","R1# show ip dhcp pool

Pool GUEST-POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0
 Total addresses                : 254
 Leased addresses               : 0
 Pending event                  : none
 1 subnet is currently in the pool :
 Current index        IP address range                    Leased addresses
 10.10.99.1           10.10.99.1       - 10.10.99.254    0

R1# show running-config | section dhcp
ip dhcp pool GUEST-POOL
 network 10.10.99.0 255.255.255.0
 default-router 10.10.99.1
 dns-server 8.8.8.8

SW1# show interfaces Fa0/24 trunk
Port        Mode         Encapsulation  Status        Native vlan
Fa0/24      on           802.1q         trunking      1

Port        Vlans allowed on trunk
Fa0/24      1,10

Port        Vlans allowed and active in management domain
Fa0/24      1,10

R1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.10      10.10.10.1      YES manual up                    up
GigabitEthernet0/0.99      10.10.99.1      YES manual up                    up","The trunk port Fa0/24 on SW1 (connecting to the AP) only allows VLANs 1 and 10 — VLAN 99 (Guest) is not in the allowed list. Guest-WiFi DHCP DISCOVERs tagged for VLAN 99 are dropped at the switch. The correctly configured DHCP pool on R1 is a red herring.","Layer 2 - Data Link",Wireless/guest network issues,High
